# eastingLBI	northingLBI
533348.9000000000232831	184788.3999999999941792
533251.5999999999767169	184797.7999999999883585
533012.0000000000000000	184816.7999999999883585
532965.3000000000465661	184818.6000000000058208
532983.8000000000465661	184665.6000000000058208
532982.0999999999767169	184647.7999999999883585
532955.9000000000232831	184520.7999999999883585
532918.5999999999767169	184347.6000000000058208
532868.5999999999767169	184123.1000000000058208
532857.3000000000465661	184056.6000000000058208
532835.8000000000465661	183939.5000000000000000
532813.1999999999534339	183827.3999999999941792
532809.6999999999534339	183807.2000000000116415
532802.5999999999767169	183790.3999999999941792
532799.8000000000465661	183774.0000000000000000
532786.0000000000000000	183775.1000000000058208
532767.4000000000232831	183769.2999999999883585
532745.1999999999534339	183759.5000000000000000
532725.3000000000465661	183746.5000000000000000
532691.5000000000000000	183718.2000000000116415
532660.0999999999767169	183691.6000000000058208
532627.6999999999534339	183662.3999999999941792
532590.3000000000465661	183629.7000000000116415
532588.4000000000232831	183628.0000000000000000
532551.6999999999534339	183600.8999999999941792
532516.6999999999534339	183571.6000000000058208
532475.6999999999534339	183541.5000000000000000
532461.1999999999534339	183529.3999999999941792
532434.5000000000000000	183507.2999999999883585
532396.0000000000000000	183475.6000000000058208
532345.9000000000232831	183437.1000000000058208
532312.1999999999534339	183413.0000000000000000
532298.0999999999767169	183402.8999999999941792
532264.0999999999767169	183381.6000000000058208
532259.1999999999534339	183385.6000000000058208
532225.3000000000465661	183363.8999999999941792
532225.8000000000465661	183356.0000000000000000
532159.8000000000465661	183315.2999999999883585
532149.4000000000232831	183309.3999999999941792
532122.8000000000465661	183295.1000000000058208
532089.8000000000465661	183280.0000000000000000
532146.5999999999767169	183156.7000000000116415
532173.5999999999767169	183096.0000000000000000
532200.8000000000465661	183038.5000000000000000
532216.0999999999767169	183003.1000000000058208
532231.5000000000000000	182957.6000000000058208
532233.9000000000232831	182943.6000000000058208
532234.1999999999534339	182936.2999999999883585
532233.5999999999767169	182928.7000000000116415
532230.5999999999767169	182914.7000000000116415
532213.6999999999534339	182861.6000000000058208
532620.5999999999767169	182706.5000000000000000
532659.3000000000465661	182690.0000000000000000
532678.3000000000465661	182678.8999999999941792
532686.5999999999767169	182673.2999999999883585
532691.1999999999534339	182669.2999999999883585
532694.5000000000000000	182665.2000000000116415
532699.4000000000232831	182656.7999999999883585
532712.0000000000000000	182638.2000000000116415
532725.0999999999767169	182610.5000000000000000
532747.1999999999534339	182546.0000000000000000
532749.9000000000232831	182532.2000000000116415
532775.5999999999767169	182516.2000000000116415
532804.1999999999534339	182504.8999999999941792
532820.8000000000465661	182498.6000000000058208
532844.0999999999767169	182507.6000000000058208
532942.6999999999534339	182547.8999999999941792
532963.6999999999534339	182460.7999999999883585
532944.9000000000232831	182436.8999999999941792
532929.3000000000465661	182396.7999999999883585
532920.4000000000232831	182368.1000000000058208
532918.3000000000465661	182359.0000000000000000
532941.5999999999767169	182350.2000000000116415
532941.0999999999767169	182294.2999999999883585
532983.5999999999767169	182292.3999999999941792
533004.6999999999534339	182293.2999999999883585
532999.1999999999534339	182259.7999999999883585
532998.1999999999534339	182237.5000000000000000
532993.6999999999534339	182136.0000000000000000
532989.1999999999534339	182089.2999999999883585
532978.0999999999767169	182037.2999999999883585
532965.8000000000465661	181968.7000000000116415
532955.6999999999534339	181928.0000000000000000
532946.0999999999767169	181894.8999999999941792
532935.6999999999534339	181871.7000000000116415
532924.0999999999767169	181838.2999999999883585
532907.4000000000232831	181792.8999999999941792
532901.5000000000000000	181777.3999999999941792
532880.5000000000000000	181723.3999999999941792
532871.4000000000232831	181727.1000000000058208
532788.0999999999767169	181764.5000000000000000
532746.8000000000465661	181786.8999999999941792
532664.3000000000465661	181825.8999999999941792
532630.8000000000465661	181839.3999999999941792
532615.0999999999767169	181845.7000000000116415
532633.8000000000465661	181926.2000000000116415
532634.5000000000000000	181929.1000000000058208
532594.6999999999534339	181937.5000000000000000
532548.5000000000000000	181945.1000000000058208
532517.4000000000232831	181951.0000000000000000
532486.0999999999767169	181954.7999999999883585
532461.4000000000232831	181957.8999999999941792
532447.5999999999767169	181959.0000000000000000
532436.4000000000232831	182009.7000000000116415
532382.4000000000232831	181991.2999999999883585
532374.0000000000000000	182012.3999999999941792
532361.6999999999534339	182008.7999999999883585
532359.9000000000232831	182018.7999999999883585
532342.0000000000000000	182013.2000000000116415
532309.5999999999767169	182006.1000000000058208
532304.3000000000465661	182035.1000000000058208
532287.9000000000232831	182097.8999999999941792
532253.1999999999534339	182188.7000000000116415
532191.5000000000000000	182161.7000000000116415
532189.3000000000465661	182166.7000000000116415
532158.3000000000465661	182151.1000000000058208
532146.5999999999767169	182190.2999999999883585
532142.4000000000232831	182189.0000000000000000
532141.5000000000000000	182188.7000000000116415
532140.3000000000465661	182191.8999999999941792
532134.9000000000232831	182206.1000000000058208
532053.9000000000232831	182154.6000000000058208
532056.6999999999534339	182150.7999999999883585
532059.0000000000000000	182147.2999999999883585
532067.3000000000465661	182133.7000000000116415
532073.5999999999767169	182121.3999999999941792
532078.0999999999767169	182111.2000000000116415
532087.6999999999534339	182083.6000000000058208
532097.6999999999534339	182041.8999999999941792
532098.6999999999534339	182027.7999999999883585
532097.6999999999534339	182016.7000000000116415
532097.0999999999767169	182012.7999999999883585
532089.1999999999534339	182013.7000000000116415
532086.5000000000000000	181980.2999999999883585
532083.4000000000232831	181950.0000000000000000
532081.0999999999767169	181915.5000000000000000
532027.3000000000465661	181899.0000000000000000
531996.3000000000465661	181888.2000000000116415
531965.6999999999534339	181873.1000000000058208
531944.6999999999534339	181863.1000000000058208
531913.5000000000000000	181846.5000000000000000
531903.3000000000465661	181845.5000000000000000
531891.4000000000232831	181842.2999999999883585
531865.9000000000232831	181828.1000000000058208
531847.4000000000232831	181818.8999999999941792
531813.0000000000000000	181800.2999999999883585
531796.1999999999534339	181790.5000000000000000
531778.1999999999534339	181780.0000000000000000
531697.9000000000232831	181736.8999999999941792
531595.1999999999534339	181683.2000000000116415
531555.1999999999534339	181659.5000000000000000
531554.5999999999767169	181659.1000000000058208
531543.1999999999534339	181725.1000000000058208
531512.5000000000000000	181852.0000000000000000
531500.8000000000465661	181896.2000000000116415
531491.1999999999534339	181922.2000000000116415
531477.1999999999534339	181960.2999999999883585
531466.1999999999534339	181985.3999999999941792
531455.5000000000000000	182006.8999999999941792
531428.1999999999534339	182061.7999999999883585
531341.5000000000000000	182048.5000000000000000
531340.6999999999534339	182049.1000000000058208
531337.0000000000000000	182054.7000000000116415
531317.6999999999534339	182089.1000000000058208
531306.1999999999534339	182114.6000000000058208
531290.9000000000232831	182146.7999999999883585
531289.0999999999767169	182150.6000000000058208
531271.8000000000465661	182139.8999999999941792
531266.4000000000232831	182141.5000000000000000
531255.0999999999767169	182149.2000000000116415
531246.4000000000232831	182155.2000000000116415
531232.0999999999767169	182158.0000000000000000
531219.8000000000465661	182162.2999999999883585
531134.6999999999534339	182188.6000000000058208
531086.8000000000465661	182205.6000000000058208
531065.0999999999767169	182214.8999999999941792
531053.5999999999767169	182220.2000000000116415
531039.0999999999767169	182230.2999999999883585
530992.8000000000465661	182278.3999999999941792
530971.8000000000465661	182299.5000000000000000
530964.1999999999534339	182310.7999999999883585
530959.3000000000465661	182319.1000000000058208
530944.5000000000000000	182351.5000000000000000
530928.0000000000000000	182392.8999999999941792
530920.3000000000465661	182412.5000000000000000
530916.9000000000232831	182418.8999999999941792
530951.8000000000465661	182460.1000000000058208
530986.1999999999534339	182500.7000000000116415
531004.8000000000465661	182520.3999999999941792
530970.5999999999767169	182532.2000000000116415
530957.4000000000232831	182539.0000000000000000
530947.9000000000232831	182543.8999999999941792
530943.3000000000465661	182548.7999999999883585
530895.6999999999534339	182591.2999999999883585
530880.6999999999534339	182605.5000000000000000
530838.0999999999767169	182648.2000000000116415
530828.8000000000465661	182662.0000000000000000
530825.5999999999767169	182668.5000000000000000
530821.6999999999534339	182678.1000000000058208
530818.5999999999767169	182687.8999999999941792
530809.9000000000232831	182727.8999999999941792
530805.5000000000000000	182773.0000000000000000
530799.5000000000000000	182854.0000000000000000
530797.5999999999767169	182863.8999999999941792
530795.0000000000000000	182873.0000000000000000
530792.0999999999767169	182880.1000000000058208
530787.5000000000000000	182888.7000000000116415
530782.1999999999534339	182896.7999999999883585
530779.5999999999767169	182900.1000000000058208
530745.6999999999534339	182923.8999999999941792
530705.5999999999767169	182943.7000000000116415
530673.6999999999534339	182956.7999999999883585
530632.8000000000465661	182972.5000000000000000
530571.9000000000232831	182991.8999999999941792
530510.0000000000000000	183011.6000000000058208
530418.5000000000000000	182999.2999999999883585
530364.8000000000465661	182991.3999999999941792
530326.0999999999767169	182983.2999999999883585
530326.0000000000000000	182994.8999999999941792
530324.5000000000000000	183025.7999999999883585
530326.6999999999534339	183207.1000000000058208
530330.1999999999534339	183352.5000000000000000
530330.0999999999767169	183410.7999999999883585
530330.0000000000000000	183413.0000000000000000
530327.5000000000000000	183516.7000000000116415
530327.3000000000465661	183550.3999999999941792
530325.8000000000465661	183577.7999999999883585
530324.3000000000465661	183604.6000000000058208
530319.3000000000465661	183668.5000000000000000
530309.5999999999767169	183721.2999999999883585
530302.9000000000232831	183749.7999999999883585
530293.9000000000232831	183782.8999999999941792
530267.9000000000232831	183846.7000000000116415
530260.5000000000000000	183862.6000000000058208
530245.8000000000465661	183889.8999999999941792
530220.0999999999767169	183927.7999999999883585
530197.4000000000232831	183958.0000000000000000
530179.4000000000232831	183990.7999999999883585
530138.0999999999767169	184076.6000000000058208
530127.0999999999767169	184105.6000000000058208
530121.0000000000000000	184134.2000000000116415
530120.3000000000465661	184142.7000000000116415
530107.5000000000000000	184172.1000000000058208
530091.9000000000232831	184205.0000000000000000
530076.3000000000465661	184243.7999999999883585
530071.6999999999534339	184284.7000000000116415
530065.0000000000000000	184313.2000000000116415
530059.4000000000232831	184333.1000000000058208
530056.4000000000232831	184347.3999999999941792
530058.0000000000000000	184363.0000000000000000
530051.0999999999767169	184403.7999999999883585
530038.0999999999767169	184474.5000000000000000
530021.3000000000465661	184570.7000000000116415
530018.5999999999767169	184584.7999999999883585
530009.5000000000000000	184632.0000000000000000
529998.0999999999767169	184686.2000000000116415
529979.3000000000465661	184784.8999999999941792
529964.0999999999767169	184835.5000000000000000
529960.4000000000232831	184843.6000000000058208
529957.8000000000465661	184852.6000000000058208
529955.5000000000000000	184858.5000000000000000
529950.8000000000465661	184867.2000000000116415
529926.3000000000465661	184899.3999999999941792
529919.9000000000232831	184906.7000000000116415
529914.0000000000000000	184914.1000000000058208
529900.4000000000232831	184928.7000000000116415
529881.8000000000465661	184941.6000000000058208
529818.0999999999767169	184985.7999999999883585
529803.1999999999534339	185000.0000000000000000
529803.0000000000000000	185000.0000000000000000
529768.4000000000232831	185038.1000000000058208
529754.6999999999534339	185056.1000000000058208
529744.8000000000465661	185070.7000000000116415
529731.4000000000232831	185100.8999999999941792
529703.5999999999767169	185185.2999999999883585
529699.6999999999534339	185208.8999999999941792
529695.0999999999767169	185247.3999999999941792
529693.3000000000465661	185254.7999999999883585
529690.1999999999534339	185262.8999999999941792
529686.8000000000465661	185269.6000000000058208
529679.5000000000000000	185279.7000000000116415
529664.0000000000000000	185294.7999999999883585
529656.1999999999534339	185301.6000000000058208
529621.8000000000465661	185328.8999999999941792
529599.1	185345.5
529521.5999999999767169	185423.0000000000000000
529467.8000000000465661	185480.0000000000000000
529441.0999999999767169	185508.2999999999883585
529422.4000000000232831	185534.5000000000000000
529416.4000000000232831	185544.1000000000058208
529404.6999999999534339	185565.0000000000000000
529389.5999999999767169	185597.2999999999883585
529385.4000000000232831	185604.3999999999941792
529381.3000000000465661	185610.1000000000058208
529377.5999999999767169	185614.2999999999883585
529371.8000000000465661	185619.7000000000116415
529362.0999999999767169	185626.7999999999883585
529331.3000000000465661	185643.2000000000116415
529287.0000000000000000	185663.0000000000000000
529253.5000000000000000	185689.2999999999883585
529242.0000000000000000	185700.8999999999941792
529235.3000000000465661	185709.5000000000000000
529227.1999999999534339	185722.7999999999883585
529222.6999999999534339	185732.3999999999941792
529153.5999999999767169	185861.3999999999941792
529144.8000000000465661	185877.7999999999883585
529089.8000000000465661	185987.8999999999941792
529076.4000000000232831	186014.8999999999941792
529058.6999999999534339	186051.0000000000000000
528997.3000000000465661	186185.0000000000000000
528984.8000000000465661	186204.3999999999941792
528977.5000000000000000	186213.7000000000116415
528971.6999999999534339	186222.8999999999941792
528967.8000000000465661	186230.3999999999941792
528962.6999999999534339	186245.1000000000058208
528960.6999999999534339	186253.7999999999883585
528958.6999999999534339	186264.7000000000116415
528956.6999999999534339	186284.8999999999941792
528958.9000000000232831	186323.0000000000000000
528957.8000000000465661	186336.1000000000058208
528957.5999999999767169	186343.7999999999883585
528958.9000000000232831	186361.3999999999941792
528960.1999999999534339	186369.0000000000000000
528972.1999999999534339	186418.8999999999941792
528979.0000000000000000	186441.1000000000058208
528981.5000000000000000	186452.0000000000000000
528982.6999999999534339	186460.0000000000000000
528984.8000000000465661	186490.1000000000058208
528984.3000000000465661	186522.8999999999941792
528981.5999999999767169	186547.5000000000000000
528974.4000000000232831	186568.2999999999883585
528971.5999999999767169	186578.7999999999883585
528967.8000000000465661	186598.5000000000000000
528966.5000000000000000	186610.3999999999941792
528965.9000000000232831	186634.8999999999941792
528974.0999999999767169	186678.8999999999941792
528974.5999999999767169	186685.3999999999941792
528974.8000000000465661	186692.7999999999883585
528974.3000000000465661	186702.8999999999941792
528973.3000000000465661	186712.8999999999941792
528972.5999999999767169	186716.7999999999883585
528947.0000000000000000	186779.8999999999941792
528941.3000000000465661	186798.2000000000116415
528938.6999999999534339	186808.2000000000116415
528934.4000000000232831	186836.3999999999941792
528934.0000000000000000	186839.1000000000058208
528925.8000000000465661	186885.1000000000058208
528906.0000000000000000	187014.7000000000116415
528895.9000000000232831	187060.0000000000000000
528878.9000000000232831	187129.3999999999941792
528854.6999999999534339	187169.3999999999941792
528832.4000000000232831	187195.6000000000058208
528834.5999999999767169	187205.7999999999883585
528840.1999999999534339	187217.7999999999883585
528857.0999999999767169	187221.2999999999883585
528897.1999999999534339	187234.8999999999941792
528943.5000000000000000	187246.1000000000058208
528957.9000000000232831	187251.6000000000058208
528970.5000000000000000	187260.7999999999883585
529040.5000000000000000	187320.7999999999883585
529067.3000000000465661	187344.8999999999941792
529083.4000000000232831	187359.2999999999883585
529095.5000000000000000	187373.3999999999941792
529111.0999999999767169	187384.5000000000000000
529112.4000000000232831	187385.6000000000058208
529118.1999999999534339	187389.6000000000058208
